CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
511,false,Mr.,Abraham,L.,Swearengin,,Wheel Gallery,adventure-works\shu0,abraham0@adventure-works.com,926-555-0136,CCZ7frrqKu31sPRuEGit5egtq9PHIW51qLxRTi/TAcY=,D5ohtJ8=,39A1E62C-4669-4731-9D99-F74D0A4979D7,2005-07-01 00:00:00
30052,false,Mr.,Abraham,L.,Swearengin,,Wheel Gallery,adventure-works\shu0,abraham0@adventure-works.com,926-555-0136,CCZ7frrqKu31sPRuEGit5egtq9PHIW51qLxRTi/TAcY=,D5ohtJ8=,C8C9C968-F0C6-44B1-9D44-7E0AA9D39260,2005-07-01 00:00:00
659,false,Mr.,Ajay,,Manchepalli,,Shipping Specialists,adventure-works\jae0,ajay0@adventure-works.com,1 (11) 500 555-0174,eVyn3oU+PF4k5dUPOBDIl+7JqQhO17DiG/iJE8dPkgc=,MYqiM6w=,A2098F7B-3D3A-4894-90D7-C79C118845D5,2008-02-01 00:00:00
29978,false,Mr.,Ajay,,Manchepalli,,Shipping Specialists,adventure-works\jae0,ajay0@adventure-works.com,1 (11) 500 555-0174,eVyn3oU+PF4k5dUPOBDIl+7JqQhO17DiG/iJE8dPkgc=,MYqiM6w=,B6EF4AC3-0E63-4FB2-B284-E48B8CD64C73,2008-02-01 00:00:00
148,false,Mr.,Alan,,Brewer,,Lots of Bikes Storehouse,adventure-works\jillian0,alan1@adventure-works.com,494-555-0134,t9ecYoVIOcEiyXvl+noHoCymcRlJij1fzZzXfKeZ/R0=,6ZoXk8E=,79355855-A002-4393-BB6E-36F90913FA4D,2005-11-01 00:00:00
595,false,Mr.,Alan,,Steiner,,Cycle Clearance,adventure-works\pamela0,alan4@adventure-works.com,792-555-0194,0ZfPkEBplSrQkVpmgzrlfblSeTpJ4CJwJu7aVWOuOSM=,FDIch68=,9C979E0C-9613-4D25-A2FB-F11DB162FE11,2007-09-01 00:00:00
29583,false,Mr.,Alan,,Brewer,,Lots of Bikes Storehouse,adventure-works\jillian0,alan1@adventure-works.com,494-555-0134,t9ecYoVIOcEiyXvl+noHoCymcRlJij1fzZzXfKeZ/R0=,6ZoXk8E=,63797367-055A-48FC-97C0-2C4D8573585E,2005-11-01 00:00:00
30031,false,Mr.,Alan,,Steiner,,Cycle Clearance,adventure-works\pamela0,alan4@adventure-works.com,792-555-0194,0ZfPkEBplSrQkVpmgzrlfblSeTpJ4CJwJu7aVWOuOSM=,FDIch68=,8979685D-B1DF-450A-A296-423F1E2B1056,2007-09-01 00:00:00
294,false,Mr.,Alberto,F.,Baltazar,,Flawless Bike Shop,adventure-works\linda3,alberto0@adventure-works.com,780-555-0114,7Pu+s7FYZ9ERNs/++8Bd+aj1rUALff6EuUnG0Xi+5f8=,L1e3Y34=,592B130D-BFF6-4744-B0B6-02F706504993,2005-09-01 00:00:00
66,false,Mr.,Alexander,J.,Deborde,,Neighborhood Store,adventure-works\garrett1,alexander1@adventure-works.com,394-555-0176,QC+He1HXF5uNbU5XqduVyZW0SlvdnAE2jhuD/06ukjE=,Uifpoxw=,E91E0048-9A25-489B-96C1-D726DA68FB7C,2006-08-01 00:00:00
408,false,Mr.,Alexander,J.,Berger,II,Odometers and Accessories Company,adventure-works\garrett1,alexander0@adventure-works.com,519-555-0151,xGCe2CsXuZvX8e6v4sTb/+XoU+4gWDQEnJADwhDsrhg=,ns1gQU4=,A845D318-D6C0-4E69-B509-83686BD409A6,2007-09-01 00:00:00
